id	name	description	rgb[0]	rgb[1]	rgb[2]	reserved1
20001	a,Gremlin\0	a,	9C	E8	A9	-1
20002	a,Rabbit\0	a,	9C	E8	A9	-1
20003	a,Goblin\0	a,	9C	E8	A9	-1
20004	a,Imp\0	a,	9C	E8	A9	-1
20005	a,Imp Elder\0	a,	9C	E8	A9	-1
20006	a,Orc Archer\0	a,	9C	E8	A9	-1
20007	a,Green Fungus\0	a,	9C	E8	A9	-1
20008	a,Felim Lizardman\0	a,	9C	E8	A9	-1
20009	a,Vuku Orc\0	a,	9C	E8	A9	-1
20010	a,Felim Lizardman Scout\0	a,	9C	E8	A9	-1
20011	a,Vuku Orc Archer\0	a,	9C	E8	A9	-1
20012	a,Gora Werewolf\0	a,	9C	E8	A9	-1
20013	a,Dryad\0	a,	9C	E8	A9	-1
20014	a,Felim Lizardman Warrior\0	a,	9C	E8	A9	-1
20015	a,Marsh Zombie\0	a,	9C	E8	A9	-1
20016	a,Stone Golem\0	a,	9C	E8	A9	-1
20017	a,Vuku Orc Warrior\0	a,	9C	E8	A9	-1
20018	a,Carnivorous Fungus\0	a,	9C	E8	A9	-1
20019	a,Dryad Elder\0	a,	9C	E8	A9	-1
20020	a,Marsh Zombie Scout\0	a,	9C	E8	A9	-1
20021	a,Red Bear\0	a,	9C	E8	A9	-1
20022	a,Misery Skeleton\0	a,	9C	E8	A9	-1
20023	a,Shadow Beast\0	a,	9C	E8	A9	-1
20024	a,Langk Lizardman Warrior\0	a,	9C	E8	A9	-1
20025	a,Lesser Dark Horror\0	a,	9C	E8	A9	-1
20026	a,Ruin Zombie\0	a,	9C	E8	A9	-1
20027	a,Langk Lizardman Scout\0	a,	9C	E8	A9	-1
20028	a,Pincher\0	a,	9C	E8	A9	-1
20029	a,Ruin Zombie Leader\0	a,	9C	E8	A9	-1
20030	a,Langk Lizardman\0	a,	9C	E8	A9	-1
20031	a,Onyx Beast\0	a,	9C	E8	A9	-1
20032	a,Pinrul\0	a,	9C	E8	A9	-1
20033	a,Shade Horror\0	a,	9C	E8	A9	-1
20034	a,Prowler\0	a,	9C	E8	A9	-1
20035	a,Skeleton Tracker\0	a,	9C	E8	A9	-1
20036	a,Lirein\0	a,	9C	E8	A9	-1
20037	a,Mana Seeker\0	a,	9C	E8	A9	-1
20038	a,Giant Venomous Spider\0	a,	9C	E8	A9	-1
20039	a,Ratman Scavenger\0	a,	9C	E8	A9	-1
20040	a,Sukar Ratman\0	a,	9C	E8	A9	-1
20041	a,Contortion of Lunacy\0	a,	9C	E8	A9	-1
20042	a,Skeleton Tracker Captain\0	a,	9C	E8	A9	-1
20043	a,Arachnid Tracker\0	a,	9C	E8	A9	-1
20044	a,Lirein Elder\0	a,	9C	E8	A9	-1
20045	a,Skeleton Scout\0	a,	9C	E8	A9	-1
20046	a,Stink Zombie\0	a,	9C	E8	A9	-1
20047	a,Sukar Ratman Captain\0	a,	9C	E8	A9	-1
20048	a,Lesser Succubus\0	a,	9C	E8	A9	-1
20049	a,Lycanthrope\0	a,	9C	E8	A9	-1
20050	a,Arachnid Predator\0	a,	9C	E8	A9	-1
20051	a,Skeleton Bowman\0	a,	9C	E8	A9	-1
20052	a,Lesser Succubus Turen\0	a,	9C	E8	A9	-1
20053	a,Ol Mahum Patrol\0	a,	9C	E8	A9	-1
20054	a,Ruin Spartoi\0	a,	9C	E8	A9	-1
20055	a,Monster Eye Watchman\0	a,	9C	E8	A9	-1
20056	a,Dre Vanul Disposer\0	a,	9C	E8	A9	-1
20057	a,Lesser Succubus Tilfo\0	a,	9C	E8	A9	-1
20058	a,Ol Mahum Guard\0	a,	9C	E8	A9	-1
20059	a,Monster Eye Patrol\0	a,	9C	E8	A9	-1
20060	a,Raging Spartoi\0	a,	9C	E8	A9	-1
20061	a,Ol Mahum Straggler\0	a,	9C	E8	A9	-1
20062	a,Tumran Bugbear\0	a,	9C	E8	A9	-1
20063	a,Ol Mahum Shooter\0	a,	9C	E8	A9	-1
20064	a,Tumran Bugbear Warrior\0	a,	9C	E8	A9	-1
20065	a,Ol Mahum Patrolman\0	a,	9C	E8	A9	-1
20066	a,Ol Mahum Officer\0	a,	9C	E8	A9	-1
20067	a,Monster Eye Watcher\0	a,	9C	E8	A9	-1
20068	a,Monster Eye Destroyer\0	a,	9C	E8	A9	-1
20069	a,Selu Lizardman Scout\0	a,	9C	E8	A9	-1
20070	a,Lesser Basilisk\0	a,	9C	E8	A9	-1
20071	a,Selu Lizardman Warrior\0	a,	9C	E8	A9	-1
20072	a,Basilisk\0	a,	9C	E8	A9	-1
20073	a,Ol Mahum Legionnaire\0	a,	9C	E8	A9	-1
20074	a,Androscorpio\0	a,	9C	E8	A9	-1
20075	a,Ant Larva\0	a,	9C	E8	A9	-1
20076	a,Ol Mahum Commander\0	a,	9C	E8	A9	-1
20077	a,Androscorpio Hunter\0	a,	9C	E8	A9	-1
20078	a,Whispering Wind\0	a,	9C	E8	A9	-1
20079	a,Ant\0	a,	9C	E8	A9	-1
20080	a,Ant Captain\0	a,	9C	E8	A9	-1
20081	a,Ant Overseer\0	a,	9C	E8	A9	-1
20082	a,Ant Recruit\0	a,	9C	E8	A9	-1
20083	a,Granite Golem\0	a,	9C	E8	A9	-1
20084	a,Ant Patrol\0	a,	9C	E8	A9	-1
20085	a,Puncher\0	a,	9C	E8	A9	-1
20086	a,Ant Guard\0	a,	9C	E8	A9	-1
20087	a,Ant Soldier\0	a,	9C	E8	A9	-1
20088	a,Ant Warrior Captain\0	a,	9C	E8	A9	-1
20089	a,Noble Ant\0	a,	9C	E8	A9	-1
20090	a,Noble Ant Captain\0	a,	9C	E8	A9	-1
20091	a,Young Fox\0	a,	9C	E8	A9	-1
20092	a,Monster Eye\0	a,	9C	E8	A9	-1
20093	a,Orc Warrior\0	a,	9C	E8	A9	-1
20094	a,Orc Sniper\0	a,	9C	E8	A9	-1
20095	a,Vampire Bat\0	a,	9C	E8	A9	-1
20096	a,Orc Lieutenant\0	a,	9C	E8	A9	-1
20097	a,Drill Bat\0	a,	9C	E8	A9	-1
20098	a,Orc Captain\0	a,	9C	E8	A9	-1
20099	a,Skeleton\0	a,	9C	E8	A9	-1
20100	a,Skeleton Archer\0	a,	9C	E8	A9	-1
20101	a,Crasher\0	a,	9C	E8	A9	-1
20102	a,Skeleton Marksman\0	a,	9C	E8	A9	-1
20103	a,Giant Spider\0	a,	9C	E8	A9	-1
20104	a,Skeleton Lord\0	a,	9C	E8	A9	-1
20105	a,Dark Horror\0	a,	9C	E8	A9	-1
20106	a,Giant Fang Spider\0	a,	9C	E8	A9	-1
20107	a,Ratman\0	a,	9C	E8	A9	-1
20108	a,Giant Blade Spider\0	a,	9C	E8	A9	-1
20109	a,Salamander\0	a,	9C	E8	A9	-1
20110	a,Undine\0	a,	9C	E8	A9	-1
20111	a,Ratman Lieutenant\0	a,	9C	E8	A9	-1
20112	a,Salamander Elder\0	a,	9C	E8	A9	-1
20113	a,Undine Elder\0	a,	9C	E8	A9	-1
20114	a,Salamander Noble\0	a,	9C	E8	A9	-1
20115	a,Undine Noble\0	a,	9C	E8	A9	-1
20116	a,Fox\0	a,	9C	E8	A9	-1
20117	a,Dre Vanul\0	a,	9C	E8	A9	-1
20118	a,Dre Vanul Watchman\0	a,	9C	E8	A9	-1
20119	a,Elder Fox\0	a,	9C	E8	A9	-1
20120	a,Wolf\0	a,	9C	E8	A9	-1
20121	a,Giant Toad\0	a,	9C	E8	A9	-1
20130	a,Orc\0	a,	9C	E8	A9	-1
20131	a,Orc Soldier\0	a,	9C	E8	A9	-1
20132	a,Werewolf\0	a,	9C	E8	A9	-1
20133	a,Bugbear\0	a,	9C	E8	A9	-1
20134	a,Cave Maiden\0	a,	9C	E8	A9	-1
20135	a,Alligator\0	a,	9C	E8	A9	-1
20136	a,Death Knight\0	a,	9C	E8	A9	-1
20137	a,Drake\0	a,	9C	E8	A9	-1
20138	a,Gargoyle\0	a,	9C	E8	A9	-1
20139	a,Giant Bee\0	a,	9C	E8	A9	-1
20140	a,Giant Leech\0	a,	9C	E8	A9	-1
20141	a,Giant Wild Boar\0	a,	9C	E8	A9	-1
20142	a,Blood Queen\0	a,	9C	E8	A9	-1
20143	a,Bear\0	a,	9C	E8	A9	-1
20144	a,Hangman Tree\0	a,	9C	E8	A9	-1
20145	a,Harpy\0	a,	9C	E8	A9	-1
20146	a,Headless Knight\0	a,	9C	E8	A9	-1
20147	a,Hobgoblin\0	a,	9C	E8	A9	-1
20148	a,Starving Spirit\0	a,	9C	E8	A9	-1
20149	a,Steel Golem\0	a,	9C	E8	A9	-1
20150	a,King Bugbear\0	a,	9C	E8	A9	-1
20151	a,Kobold\0	a,	9C	E8	A9	-1
20152	a,Lizardman\0	a,	9C	E8	A9	-1
20153	a,Magical Weaver\0	a,	9C	E8	A9	-1
20154	a,Mandragora\0	a,	9C	E8	A9	-1
20155	a,Mandragora Sapling\0	a,	9C	E8	A9	-1
20156	a,Mandragora Blossom\0	a,	9C	E8	A9	-1
20157	a,Marsh Stakato\0	a,	9C	E8	A9	-1
20158	a,Medusa\0	a,	9C	E8	A9	-1
20159	a,Minotaur\0	a,	9C	E8	A9	-1
20160	a,Neer Crawler\0	a,	9C	E8	A9	-1
20161	a,Oel Mahum\0	a,	9C	E8	A9	-1
20162	a,Ogre\0	a,	9C	E8	A9	-1
20163	a,Ol Mahum\0	a,	9C	E8	A9	-1
20164	a,Ol Mahum Archer\0	a,	9C	E8	A9	-1
20165	a,Ol Mahum Champion\0	a,	9C	E8	A9	-1
20166	a,Succubus\0	a,	9C	E8	A9	-1
20167	a,Serpent Slave\0	a,	9C	E8	A9	-1
20168	a,Silenos\0	a,	9C	E8	A9	-1
20169	a,Skeleton Royal Guard\0	a,	9C	E8	A9	-1
20170	a,Spartoi\0	a,	9C	E8	A9	-1
20171	a,Specter\0	a,	9C	E8	A9	-1
20172	a,Sylph\0	a,	9C	E8	A9	-1
20173	a,Troll\0	a,	9C	E8	A9	-1
20174	a,Two-headed Giant\0	a,	9C	E8	A9	-1
20175	a,Walking Fungus\0	a,	9C	E8	A9	-1
20176	a,Wyrm\0	a,	9C	E8	A9	-1
20177	a,Zombie\0	a,	9C	E8	A9	-1
20189	a,Crystal Puma\0	a,	9C	E8	A9	-1
20190	a,Skeleton Marauder\0	a,	9C	E8	A9	-1
20191	a,Skeleton Raider\0	a,	9C	E8	A9	-1
20192	a,Tyrant\0	a,	9C	E8	A9	-1
20193	a,Elder Tyrant\0	a,	9C	E8	A9	-1
20194	a,Queen Undine\0	a,	9C	E8	A9	-1
20197	a,Sorrow Maiden\0	a,	9C	E8	A9	-1
20198	a,Neer Crawler Berserker\0	a,	9C	E8	A9	-1
20199	a,Amber Basilisk\0	a,	9C	E8	A9	-1
20200	a,Strain\0	a,	9C	E8	A9	-1
20201	a,Ghoul\0	a,	9C	E8	A9	-1
20202	a,Corpse Tracker\0	a,	9C	E8	A9	-1
20203	a,Dion Grizzly\0	a,	9C	E8	A9	-1
20204	a,Bloody Bee\0	a,	9C	E8	A9	-1
20205	a,Dire Wolf\0	a,	9C	E8	A9	-1
20206	a,Cardiff Werewolf\0	a,	9C	E8	A9	-1
20207	a,Ol Mahum Guerilla\0	a,	9C	E8	A9	-1
20208	a,Ol Mahum Raider\0	a,	9C	E8	A9	-1
20209	a,Ol Mahum Sniper\0	a,	9C	E8	A9	-1
20210	a,Ol Mahum Lieutenant\0	a,	9C	E8	A9	-1
20211	a,Ol Mahum Captain\0	a,	9C	E8	A9	-1
20212	a,Bloody Axe Turmak\0	a,Ol Mahum Lord\0	9C	E8	A9	-1
20213	a,Porta\0	a,	9C	E8	A9	-1
20214	a,Excuro\0	a,	9C	E8	A9	-1
20215	a,Mordeo\0	a,	9C	E8	A9	-1
20216	a,Ricenseo\0	a,	9C	E8	A9	-1
20217	a,Krator\0	a,	9C	E8	A9	-1
20218	a,Premo\0	a,	9C	E8	A9	-1
20219	a,Validus\0	a,	9C	E8	A9	-1
20220	a,Dicor\0	a,	9C	E8	A9	-1
20221	a,Perum\0	a,	9C	E8	A9	-1
20222	a,Torfe\0	a,	9C	E8	A9	-1
20223	a,Mandragora Sprout\0	a,	9C	E8	A9	-1
20224	a,Ol Mahum Ranger\0	a,	9C	E8	A9	-1
20225	a,Giant Mist Leech\0	a,	9C	E8	A9	-1
20226	a,Gray Ant\0	a,	9C	E8	A9	-1
20227	a,Mist Horror Ripper\0	a,	9C	E8	A9	-1
20228	a,Giant Crimson Ant\0	a,	9C	E8	A9	-1
20229	a,Weird Wasp\0	a,	9C	E8	A9	-1
20230	a,Marsh Stakato Worker\0	a,	9C	E8	A9	-1
20231	a,Toad Lord\0	a,	9C	E8	A9	-1
20232	a,Marsh Stakato Soldier\0	a,	9C	E8	A9	-1
20233	a,Marsh Spider\0	a,	9C	E8	A9	-1
20234	a,Marsh Stakato Drone\0	a,	9C	E8	A9	-1
20235	a,Shackle\0	a,	9C	E8	A9	-1
20236	a,Cave Servant\0	a,	9C	E8	A9	-1
20237	a,Cave Servant Archer\0	a,	9C	E8	A9	-1
20238	a,Cave Servant Warrior\0	a,	9C	E8	A9	-1
20239	a,Cave Servant Captain\0	a,	9C	E8	A9	-1
20240	a,Royal Cave Servant\0	a,	9C	E8	A9	-1
20241	a,Hunter Gargoyle\0	a,	9C	E8	A9	-1
20242	a,Dustwind Gargoyle\0	a,	9C	E8	A9	-1
20243	a,Thunder Wyrm\0	a,	9C	E8	A9	-1
20244	a,Maluk Succubus\0	a,	9C	E8	A9	-1
20245	a,Maluk Succubus Turen\0	a,	9C	E8	A9	-1
20246	a,Cave Keeper\0	a,	9C	E8	A9	-1
20248	a,Turak Bugbear\0	a,	9C	E8	A9	-1
20249	a,Turak Bugbear Warrior\0	a,	9C	E8	A9	-1
20250	a,Glass Jaguar\0	a,	9C	E8	A9	-1
20251	a,Delu Lizardman\0	a,	9C	E8	A9	-1
20252	a,Delu Lizardman Scout\0	a,	9C	E8	A9	-1
20253	a,Delu Lizardman Warrior\0	a,	9C	E8	A9	-1
20254	a,Skeleton Axeman\0	a,	9C	E8	A9	-1
20255	a,Batur Orc\0	a,	9C	E8	A9	-1
20256	a,Batur Orc Archer\0	a,	9C	E8	A9	-1
20257	a,Batur Orc Warrior\0	a,	9C	E8	A9	-1
20258	a,Batur Orc Shaman\0	a,	9C	E8	A9	-1
20259	a,Batur Orc Prefect\0	a,	9C	E8	A9	-1
20260	a,Orc Hero\0	a,	9C	E8	A9	-1
20261	a,Orc Shaman\0	a,	9C	E8	A9	-1
20265	a,Monster Eye Searcher\0	a,	9C	E8	A9	-1
20266	a,Monster Eye Gazer\0	a,	9C	E8	A9	-1
20267	a,Breka Orc\0	a,	9C	E8	A9	-1
20268	a,Breka Orc Archer\0	a,	9C	E8	A9	-1
20269	a,Breka Orc Shaman\0	a,	9C	E8	A9	-1
20270	a,Breka Orc Prefect\0	a,	9C	E8	A9	-1
20271	a,Breka Orc Warrior\0	a,	9C	E8	A9	-1
20272	a,Cave Servant\0	a,	9C	E8	A9	-1
20273	a,Cave Servant Archer\0	a,	9C	E8	A9	-1
20274	a,Cave Servant Warrior\0	a,	9C	E8	A9	-1
20275	a,Cave Servant Captain\0	a,	9C	E8	A9	-1
20276	a,Royal Cave Servant\0	a,	9C	E8	A9	-1
20277	a,Cave Keeper\0	a,	9C	E8	A9	-1
20279	a,Shackle\0	a,	9C	E8	A9	-1
20280	a,Headless Knight\0	a,	9C	E8	A9	-1
20281	a,Dustwind Gargoyle\0	a,	9C	E8	A9	-1
20282	a,Thunder Wyrm\0	a,	9C	E8	A9	-1
20283	a,Maluk Succubus\0	a,	9C	E8	A9	-1
20284	a,Maluk Succubus Turen\0	a,	9C	E8	A9	-1
20285	a,Drake\0	a,	9C	E8	A9	-1
20286	a,Hunter Gargoyle\0	a,	9C	E8	A9	-1
20287	a,Cave Maiden\0	a,	9C	E8	A9	-1
20291	a,Enku Orc Hero\0	a,	9C	E8	A9	-1
20292	a,Enku Orc Shaman\0	a,	9C	E8	A9	-1
20293	a,Virud Lizardman\0	a,	9C	E8	A9	-1
20294	a,Virud Lizardman Matriarch\0	a,	9C	E8	A9	-1
20295	a,Virud Lizardman Warrior\0	a,	9C	E8	A9	-1
20296	a,Virud Lizardman Scout\0	a,	9C	E8	A9	-1
20297	a,Virud Lizardman Shaman \0	a,	9C	E8	A9	-1
20298	a,Virud Lizardman Shaman \0	a,	9C	E8	A9	-1
20299	a,Zenta Lizardman\0	a,	9C	E8	A9	-1
20300	a,Zenta Lizardman Matriarch\0	a,	9C	E8	A9	-1
20301	a,Zenta Lizardman Scout\0	a,	9C	E8	A9	-1
20302	a,Zenta Lizardman Warrior\0	a,	9C	E8	A9	-1
20303	a,Zenta Lizardman Shaman\0	a,	9C	E8	A9	-1
20304	a,Marsh Stakato Queen\0	a,	9C	E8	A9	-1
20305	a,Grave\0	a,	9C	E8	A9	-1
20307	a,Garum Werewolf\0	a,	9C	E8	A9	-1
20308	a,Hook Spider\0	a,	9C	E8	A9	-1
20309	a,Brown Fox\0	a,	9C	E8	A9	-1
20310	a,Brown Bear\0	a,	9C	E8	A9	-1
20311	a,Rakeclaw Imp\0	a,	9C	E8	A9	-1
20312	a,Rakeclaw Imp Hunter\0	a,	9C	E8	A9	-1
20313	a,Rakeclaw Imp Leader\0	a,	9C	E8	A9	-1
20314	a,Giant White Shark\0	a,	9C	E8	A9	-1
20316	a,Blackwing Bat\0	a,	9C	E8	A9	-1
20317	a,Black Wolf\0	a,	9C	E8	A9	-1
20318	a,Black Timber Wolf\0	a,	9C	E8	A9	-1
20319	a,Goblin Tomb Raider\0	a,	9C	E8	A9	-1
20320	a,Goblin Tomb Raider Leader\0	a,	9C	E8	A9	-1
20321	a,Goblin Thief\0	a,	9C	E8	A9	-1
20322	a,Goblin Brigand\0	a,	9C	E8	A9	-1
20323	a,Goblin Brigand Leader\0	a,	9C	E8	A9	-1
20324	a,Goblin Brigand Lieutenant\0	a,	9C	E8	A9	-1
20325	a,Goblin Raider\0	a,	9C	E8	A9	-1
20326	a,Goblin Scout\0	a,	9C	E8	A9	-1
20327	a,Goblin Snooper\0	a,	9C	E8	A9	-1
20328	a,Goblin Lookout\0	a,	9C	E8	A9	-1
20329	a,Ghost Guardian\0	a,	9C	E8	A9	-1
20330	a,Spelunking Bat\0	a,	9C	E8	A9	-1
20331	a,Monster Eye Tracker\0	a,	9C	E8	A9	-1
20333	a,Greystone Golem\0	a,	9C	E8	A9	-1
20334	a,Gremlin Scavenger\0	a,	9C	E8	A9	-1
20335	a,Grizzly Bear\0	a,	9C	E8	A9	-1
20336	a,Green Dryad\0	a,	9C	E8	A9	-1
20337	a,Longtail Fox\0	a,	9C	E8	A9	-1
20338	a,Nightmare Weaver\0	a,	9C	E8	A9	-1
20340	a,Slave Skeleton\0	a,	9C	E8	A9	-1
20341	a,Undead Slave\0	a,	9C	E8	A9	-1
20342	a,Werewolf Chieftain\0	a,	9C	E8	A9	-1
20343	a,Werewolf Hunter\0	a,	9C	E8	A9	-1
20345	a,Dark Terror\0	a,	9C	E8	A9	-1
20346	a,Darkstone Golem\0	a,	9C	E8	A9	-1
20347	a,Doom Wraith\0	a,	9C	E8	A9	-1
20348	a,Cave Spider\0	a,	9C	E8	A9	-1
20349	a,Cave Bat\0	a,	9C	E8	A9	-1
20350	a,Cave Fang Spider\0	a,	9C	E8	A9	-1
20351	a,Dre Vanul Tracker\0	a,	9C	E8	A9	-1
20352	a,Dre Vanul Slayer\0	a,	9C	E8	A9	-1
